time,w_expl_0,w_expl_1,w_RK2_0,w_RK2_1,exact_solution_0,exact_solution_1
11.750000,0.908785,-0.986040,0.688553,-0.725439,0.684870,-0.728665
11.800000,0.958087,-0.940601,0.723965,-0.690104,0.720432,-0.693525
11.850000,1.005117,-0.892697,0.757565,-0.653044,0.754194,-0.656652
11.900000,1.049752,-0.842441,0.789270,-0.614349,0.786070,-0.618137
11.950000,1.091874,-0.789953,0.819001,-0.574118,0.815982,-0.578077
12.000000,1.131371,-0.735360,0.846683,-0.532450,0.843854,-0.536573
12.050000,1.168139,-0.678791,0.872247,-0.489450,0.869617,-0.493727
12.100000,1.202079,-0.620384,0.895629,-0.445226,0.893206,-0.449647
12.150000,1.233098,-0.560280,0.916771,-0.399888,0.914563,-0.404444
12.200000,1.261112,-0.498625,0.935620,-0.353550,0.933634,-0.358229
12.250000,1.286043,-0.435570,0.952128,-0.306327,0.950371,-0.311119
12.300000,1.307822,-0.371268,0.966254,-0.258337,0.964733,-0.263232
12.350000,1.326385,-0.305877,0.977963,-0.209702,0.976683,-0.214686
12.400000,1.341679,-0.239557,0.987225,-0.160542,0.986192,-0.165604
12.450000,1.353657,-0.172473,0.994018,-0.110980,0.993237,-0.116108
12.500000,1.362281,-0.104791,0.998325,-0.061140,0.997798,-0.066322
12.550000,1.367520,-0.036677,1.000134,-0.011147,0.999866,-0.016370
12.600000,1.369354,0.031700,0.999441,0.038873,0.999435,0.033623
12.650000,1.367769,0.100167,0.996248,0.088797,0.996505,0.083532
12.700000,1.362761,0.168556,0.990563,0.138498,0.991085,0.133232
12.750000,1.354333,0.236694,0.982400,0.187853,0.983187,0.182599
12.800000,1.342498,0.304410,0.971779,0.236738,0.972833,0.231510
12.850000,1.327278,0.371535,0.958728,0.285031,0.960046,0.279842
12.900000,1.308701,0.437899,0.943278,0.332612,0.944860,0.327474
12.950000,1.286806,0.503334,0.925468,0.379360,0.927312,0.374289
13.000000,1.261639,0.567674,0.905343,0.425159,0.907447,0.420167
13.050000,1.233255,0.630756,0.882954,0.469895,0.885313,0.464995
13.100000,1.201718,0.692419,0.858355,0.513455,0.860967,0.508661
13.150000,1.167097,0.752505,0.831609,0.555731,0.834468,0.551056
13.200000,1.129471,0.810860,0.802783,0.596617,0.805884,0.592074
13.250000,1.088928,0.867333,0.771949,0.636010,0.775285,0.631611
13.300000,1.045562,0.921780,0.739184,0.673812,0.742749,0.669570
13.350000,0.999473,0.974058,0.704569,0.709929,0.708356,0.705855
13.400000,0.950770,1.024032,0.668192,0.744270,0.672193,0.740376
13.450000,0.899568,1.071570,0.630143,0.776750,0.634350,0.773046
13.500000,0.845990,1.116549,0.590518,0.807286,0.594921,0.803784
13.550000,0.790162,1.158848,0.549416,0.835803,0.554005,0.832514
13.600000,0.732220,1.198356,0.506939,0.862229,0.511704,0.859162
13.650000,0.672302,1.234967,0.463193,0.886498,0.468124,0.883663
13.700000,0.610554,1.268582,0.418290,0.908549,0.423375,0.905955
13.750000,0.547125,1.299110,0.372339,0.928328,0.377567,0.925982
13.800000,0.482169,1.326466,0.325457,0.945785,0.330815,0.943696
13.850000,0.415846,1.350575,0.277761,0.960875,0.283236,0.959050
13.900000,0.348317,1.371367,0.229370,0.973562,0.234950,0.972008
13.950000,0.279749,1.388783,0.180406,0.983814,0.186076,0.982535
14.000000,0.210310,1.402770,0.130989,0.991604,0.136737,0.990607
